Figure 13 (top-right). Effectiveness of the local search operator.  Convergence in terms of the average percentage improvement achieved in the fitness of the initial ensemble after applying LSA.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
149,0.0964884830144141,0.0873759331309534,0.140812530008493,0.0600672287021038
150,0.096430006389164,0.0874129031130119,0.1406971739705,0.0598731561512657
151,0.0964692137761212,0.0874790493553384,0.140640234104693,0.0597113032214901
152,0.0964536964587463,0.0874315463685498,0.140451503057992,0.0595512280056536
153,0.0964818076979528,0.0874827848090869,0.140468989338446,0.0593900495786904
154,0.0964539087314748,0.0874817093054592,0.140433072059259,0.0592809472872074
155,0.0965221855718316,0.0876199082240055,0.140386386618813,0.0591774093333348
156,0.0965037695271098,0.0876199127288217,0.140346548373264,0.0590920472486005
157,0.0964912941634548,0.0875871632881522,0.140322869168684,0.0589992417273896
158,0.0965688606418734,0.0876391119796915,0.140424664370526,0.0588459394410306
159,0.0965874533326669,0.0876990909887486,0.140365302940974,0.0587310775510457
160,0.0966395527082884,0.0876733024782122,0.140255600476501,0.0585551535930644
161,0.0965788960357841,0.0877711439231913,0.140225933547999,0.0583836813411488
162,0.09663336595191,0.0878322636291566,0.140133119559014,0.0582547085728586
163,0.0966223201665704,0.0878736697149298,0.140173554364373,0.0581484768695328
164,0.0967096475814443,0.0879214951459089,0.140109838888629,0.0580681195509934
165,0.0967668936537653,0.0879818626167821,0.139997212632828,0.0580092880330178
166,0.0968470290093486,0.0880909759129554,0.139995608633686,0.0578535421958205
167,0.0969448514918973,0.0881225241739845,0.140033795663482,0.0577823106741834
168,0.0968890117038539,0.0881281353471125,0.140068390827236,0.0576736878500505
169,0.0968873638821481,0.0882001766466688,0.140120744871467,0.0576112521398418
170,0.096950619024035,0.0882483302746948,0.140094634620621,0.0575061258622843
171,0.0969584896389226,0.0883538812792008,0.140093308522612,0.0573600854865524
172,0.0969760880127345,0.0884240198557371,0.139939425745403,0.0572596775064095
173,0.0970634348529504,0.0885299892663154,0.140091999583942,0.0572166433642036
174,0.0970798922495286,0.0885771936001799,0.14006783419466,0.0571388605359556
175,0.0971370025516434,0.0886856629963186,0.139993304898273,0.0569993915841431
176,0.0971436930855511,0.0887581550482313,0.139930232836456,0.0569134862846946
177,0.09716746394577119,0.0889210706938308,0.13990818487098,0.0567735240591294
178,0.097196414949724,0.0889608454420776,0.139793230161327,0.0567232959483503
179,0.0972358337051563,0.0890449024994304,0.139776183711094,0.0566186503577498
180,0.0972561355151082,0.0891596179338636,0.139718911191852,0.0566238348380642
181,0.0973285504634656,0.0891898729223286,0.139812777849162,0.056541682538468
182,0.0974391034890238,0.0892781554401157,0.139813060722024,0.0564232690704144
183,0.0974751600833581,0.0893678945639908,0.139834590062548,0.0563566791904034
184,0.0975161783668452,0.0894818484412712,0.139816733057368,0.0563315227587899
185,0.0975498521338601,0.0894821451737558,0.139816988327371,0.056296979483278
186,0.097628117092862,0.0895482090411357,0.139726042765679,0.0562098909442037
187,0.0977446947517487,0.0895408863165747,0.139746500444247,0.0560685055174084
188,0.0977941086165313,0.0895379268287738,0.139834514999491,0.0559994070430004
189,0.0978464270521446,0.0895446612374598,0.139849252314538,0.0559543423776007
190,0.0979047195782022,0.0896138183687996,0.139780691197581,0.0558841471230365
191,0.0979242634941704,0.089571414667458,0.139665003624797,0.0558235831976739
