Figure 13 (top-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of applications in which the local search operator successfully enhances the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
206,0.365598847895262,0.257750014036524,0.658094993605548,0.597035868589313
207,0.36548567622383,0.257786503893641,0.657507231289629,0.596472353054207
208,0.365621064247609,0.25778747517895,0.656818259179151,0.59565955022228
209,0.365742576433654,0.257718705113284,0.656227858396505,0.594894459006504
210,0.365771444605042,0.257640728406835,0.65563704056922,0.593977766201417
211,0.36568489848865,0.25755379288941,0.654841302348549,0.593276690991128
212,0.365672396511279,0.257483578021256,0.654350846380729,0.592755834063171
213,0.365565822845691,0.257508808049606,0.653834481662479,0.592399623574225
214,0.365330445865436,0.257627204584693,0.653220815898526,0.591724060438991
215,0.365170488131663,0.257691390280929,0.652768779559352,0.591256152853449
216,0.365062650029898,0.257778133393299,0.652199801278321,0.590770018764975
217,0.364974250104935,0.257782951435675,0.651745233205312,0.590401496384794
218,0.365030041388242,0.257833677642471,0.651458610689619,0.589923525920155
219,0.364899658956486,0.257741653285588,0.650891371124957,0.58932070456731
220,0.364886833666271,0.25777717726761,0.650697154089768,0.588801971416472
221,0.364907620130206,0.257696146894295,0.650167656305735,0.588194597216471
222,0.36490138257161,0.257678615945503,0.649702012259015,0.58761834272314
223,0.364828820128515,0.257622189388646,0.649148654396533,0.587356634732032
224,0.36460120604416,0.257683512423572,0.648587926850718,0.586746153372592
225,0.364469256284822,0.257610206522092,0.648067847823668,0.58629615871195
226,0.364309194813584,0.257595854843742,0.647594248168628,0.585937430799342
227,0.364367555753283,0.257722635940897,0.646967864254286,0.585552661246239
228,0.364408565523523,0.257538182258871,0.646611728502543,0.585138601295086
229,0.364457155244736,0.257546797958001,0.64600252595383,0.584336523296844
230,0.364463724588839,0.257511770681496,0.64552998298893,0.583707842319115
231,0.364376795145216,0.257510556307811,0.645118645841532,0.583311122940365
232,0.364505292268459,0.257511504413362,0.644561128457716,0.582812641820621
233,0.364476584021877,0.257480998294178,0.643920070498186,0.582608312817105
234,0.364372743118333,0.257431682804285,0.643421148738834,0.581864985116099
235,0.364180690220089,0.257458417974583,0.642886214685257,0.581301900941049
236,0.364200379610426,0.257357058445295,0.642253071253053,0.580842353994373
237,0.364131626770656,0.257423431557136,0.641487111584986,0.580374195651896
238,0.364135463858961,0.257511878339541,0.640933877223373,0.580129348100445
239,0.36413063997711,0.257607661471437,0.640674012300201,0.57937605605362
240,0.364160947898867,0.257595609844068,0.640361830484542,0.578846240054443
241,0.363996673512,0.257474739730509,0.639989895944285,0.578195801819631
242,0.363818859357259,0.257470116199176,0.6393695300264,0.577762031073404
243,0.363896793429644,0.257411947538166,0.638881665655005,0.577298316390803
244,0.363990894346131,0.257358902041356,0.638452218767981,0.576844565283103
245,0.363987067778507,0.2573162794261,0.638242535967432,0.576676764580771
246,0.36394512166352,0.257344424527466,0.637671693778621,0.576117286676318
247,0.364032927023767,0.257422328228561,0.637209022489473,0.575625610100747
248,0.363969232826469,0.25742921780708,0.63665250199994,0.575059031863261
249,0.363982126057463,0.257405148091023,0.636218284366432,0.57474085378312
250,0.363825367244417,0.257497522564947,0.635920097874623,0.57436830754559
251,0.363680188798009,0.257518680244598,0.635664210348311,0.574211408802732
252,0.363743531154549,0.257627625528841,0.63525935433743,0.573864489778069
253,0.363564478316835,0.257607798346262,0.634950630743293,0.573487309541676
254,0.363512777398974,0.257544167149907,0.634598219359066,0.572962443867014
255,0.363500094357302,0.257581718659922,0.634167179976653,0.57251356709075
256,0.363541450042113,0.25764653957406,0.63348091774134,0.571988696819505
257,0.363335122505756,0.2575790639472,0.633056107962191,0.571625677337402
258,0.363220731958778,0.257561746633406,0.632555302184775,0.571139767004798
259,0.363146527740301,0.257495192221171,0.632206423669276,0.570765301377281
260,0.363131281985436,0.25756273330909,0.631905181372737,0.570596616180825
261,0.363105526719364,0.257604436539773,0.631447717358949,0.57020867476798
262,0.363116950131744,0.257593920260195,0.630985468061103,0.569952735227323
263,0.363023960568072,0.25765391066722,0.630631168600084,0.569522946971979
264,0.362973866550241,0.257669871086182,0.630356227263736,0.569082258515344
265,0.362915727320536,0.257657124707784,0.630044995170423,0.568705179994172
266,0.362912147291533,0.257728773395615,0.629802471278987,0.56833914160304
267,0.362818795673465,0.257803288193819,0.629543668418996,0.568163795747583
268,0.362791621891292,0.257826164162828,0.629213352990299,0.567791775745773
269,0.362685478850947,0.257855564216343,0.628877400780435,0.567572046176107
270,0.362601349781616,0.257876764124119,0.62851766058323,0.567217117542602
271,0.362632517517435,0.257984372344336,0.628082767360287,0.566773934220178
272,0.362445062786914,0.258078825069241,0.627965205280279,0.566249173006078
273,0.362524850888502,0.258158623816615,0.627555341769685,0.566033531363524
274,0.362519605600402,0.258185585824315,0.627048459905299,0.565728730995343
275,0.362385124394201,0.258246577954469,0.626520004955383,0.565400094237479
276,0.362461026344564,0.258183188161374,0.626078861013289,0.565050536818589
277,0.362442585623458,0.258138560419607,0.625711413468085,0.564844267864528
278,0.362438389099658,0.258150425298991,0.625202596398553,0.564507427226519
279,0.362519057985662,0.258227740270408,0.624693226296415,0.564307008480772
280,0.362588460524367,0.258257167144851,0.624542663938881,0.563919284116059
281,0.362526675026903,0.258214277889278,0.624138146889223,0.563473094163021
282,0.362409152030042,0.258207714589552,0.623793571130368,0.563107868058304
283,0.362391780698082,0.258302303500657,0.623172931297125,0.56280911977108
284,0.362436980349803,0.258202776793778,0.622831410943387,0.562268249713789
285,0.362446965746601,0.258222139702199,0.622342304125591,0.561912100240526
286,0.36239589607097,0.258289578537052,0.622046433138784,0.561605765827473
287,0.36228127742074,0.258368255875007,0.62192641781461,0.561217967679576
288,0.362312658161455,0.258368093586281,0.621487576522478,0.560847721488889
289,0.362365701971018,0.258443251887069,0.621185343825237,0.560397491221734
290,0.362284212826233,0.258433440600039,0.620676865999677,0.559963991945465
291,0.362256277123359,0.25845811698154,0.620374605425214,0.559547972727069
292,0.362178591187023,0.25856262243354,0.619984541381496,0.559124955509582
293,0.362183003886684,0.258494274795699,0.619607844063653,0.558656596908198
294,0.36206333309018,0.258549889720981,0.618991052975349,0.558322121370356
295,0.362055769430895,0.258571899454315,0.618425197559874,0.558051447123241
296,0.362126394115409,0.258603838654453,0.618050617820561,0.557664660579565
297,0.362000094627292,0.258644879265692,0.617703757124777,0.557345656961552
298,0.362108156260314,0.258644514056977,0.617139390959732,0.556780483765522
299,0.362012575710278,0.258659538969479,0.616709327289006,0.556420099845126
300,0.362067686874733,0.258745393862414,0.616281070900541,0.556078853131574
301,0.362065820959826,0.258874053063488,0.615829654451052,0.555620127524386
302,0.362115272887411,0.258814810003158,0.615585423630151,0.555054310133289
303,0.362225554512847,0.258831817179093,0.615170115369441,0.554672140224925
304,0.362175070079666,0.258816619703782,0.614826905716416,0.554246669709449
305,0.362118543709785,0.258808759995159,0.614340583003231,0.55378164628091
306,0.362137278765928,0.25881644340786,0.613822009352693,0.553415369179378
307,0.362068697623948,0.258913776121572,0.613713148312258,0.552882930780119
308,0.361994304239141,0.258908701491433,0.61333581336375,0.55252568437687
309,0.361997702731726,0.258943946802129,0.613113291191053,0.552164467169633
310,0.362141095133868,0.25892605707428,0.612359780256129,0.551789446624661
