Figure 13 (bottom-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of individual RPs that are different from the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
275,0.517696108121708,0.455021389239657,0.610905791707588,0.53973840029759
276,0.517758493072928,0.455060108621783,0.611096497040092,0.539634224487692
277,0.517784213824223,0.45510722647252,0.611277765611858,0.539698492604231
278,0.51779587085163,0.455141207655775,0.611328930419832,0.53960558534974
279,0.517905363313937,0.455119022646341,0.611513065785912,0.539664077196443
280,0.517927751597864,0.455211213983292,0.611503945903292,0.539626761658629
281,0.518015968633701,0.455256825901684,0.611674712845863,0.539544208697283
282,0.518064243139794,0.455292517103319,0.611850438220056,0.539517220831824
283,0.51822307055123,0.455352077399108,0.611863254536103,0.539480689445337
284,0.518320652225285,0.455505212883119,0.611893072230941,0.539496647857977
285,0.518537829257883,0.45550819514964,0.612015708139778,0.539381120625422
286,0.518679178047347,0.455636300546845,0.612154474202656,0.539401730173122
287,0.518770462972239,0.455689357658221,0.61226266804212,0.539432690313599
288,0.51886392283187,0.455750706897619,0.612278125160152,0.539332052577779
289,0.518861599205572,0.455829577787563,0.612343737010655,0.539343320562075
290,0.518911004529605,0.455869303254686,0.61246289775267,0.539339965461549
291,0.518856746622048,0.455969273811069,0.612533933245572,0.539363367758941
292,0.518924640180981,0.456117672116935,0.612516020901855,0.539455940117321
293,0.519033317034184,0.456229068480796,0.612595682498089,0.53940964379055
294,0.51915102325392,0.456326579724147,0.612723263947211,0.539446841582709
295,0.519251691024094,0.456349339851508,0.612781627944066,0.539347506350963
296,0.519337759911588,0.456291765597266,0.612863417544746,0.539310551233122
297,0.519481821494429,0.456304299329058,0.612951700986207,0.539299033810876
298,0.5195178862962,0.456422967663871,0.61300286501771,0.539241053669807
299,0.519575889334996,0.456472509602002,0.613006394531769,0.539227667176468
300,0.519672912645163,0.456526817127325,0.613014787772392,0.539297168756517
301,0.519786500132019,0.456487290028182,0.613123333809271,0.53922921213149
302,0.519797737599074,0.456493761576912,0.613152122773175,0.539208350607628
303,0.519937512571198,0.456618536980524,0.613195258605883,0.539192790012183
304,0.520031631817726,0.456660958711002,0.613303575019018,0.539209825930484
305,0.520169625464892,0.456721398244939,0.613409564557168,0.539248721301057
306,0.52026167456949,0.456655234641177,0.613562012793051,0.539189479504987
307,0.520372122167141,0.45666870601755,0.613662141259521,0.539197354723507
308,0.52040239098073,0.456734348729453,0.613766195236174,0.539138692427251
309,0.52054919486838,0.456735280252605,0.61389657012564,0.539179361461067
310,0.520638869253279,0.456795853213295,0.613904980351734,0.539191599190178
