Time(min),S 5 5,V 5 5,S 20 20,V 20 20
366,1.8248932101702,1.50000377836553,3.10539357075437,2.42760711063946
367,1.82492923530439,1.50008998469074,3.10551149098893,2.42688882448737
368,1.8253346509398,1.5002186905488,3.10487449286089,2.4266549081482
369,1.82559665392097,1.50029158619927,3.10474658145304,2.42626295217792
370,1.82574243740953,1.50050172198764,3.10392120397328,2.42565306298099
371,1.82592599139446,1.50055814776588,3.1035733805096,2.42501574937495
372,1.82599348787697,1.50073601429577,3.10288511958835,2.42454090444974
373,1.82617407118379,1.5009874793793,3.10185490231763,2.42395580276412
374,1.82617400533893,1.50098413724659,3.10166643505329,2.42359423696126
375,1.82642603500759,1.50116274922044,3.10057555343224,2.42273648528438
376,1.82648168153193,1.50127538347161,3.09952038605991,2.42184671349604
377,1.8264864444785,1.5018475336508,3.09869319672972,2.42151636614669
378,1.82645692537069,1.5020505804974,3.09767514348712,2.42076129161429
379,1.82673485873085,1.50207487522094,3.09703481789923,2.42005746945347
380,1.82673239991858,1.50215046595835,3.09611701736396,2.41943166481308
381,1.82682631509936,1.50215404056867,3.09517920795408,2.41875298744294
382,1.82690965765347,1.50247647476721,3.09468696402745,2.41839129718924
383,1.82746107629894,1.50261505313753,3.09464650611349,2.41870874328038
384,1.82737990054668,1.50284701489982,3.09502662869186,2.41801348944658
385,1.8276475825707,1.50316890958079,3.0941241332426,2.41728397139725
386,1.82770444072649,1.50315152184209,3.09436947595699,2.41700256113899
387,1.82750987495357,1.50334482201214,3.09380637315243,2.41683031625113
388,1.8275173954359,1.50363189707804,3.0927543097513,2.4164151024239
389,1.82761438124528,1.50367160965877,3.09087838653274,2.41627486790984
390,1.8275597783981,1.50366228550217,3.09071495456445,2.4158232212139
391,1.82787670811646,1.50377151210116,3.09083790701234,2.4150720792173
392,1.82790877814587,1.50398278325404,3.09027165053471,2.41456649228355
393,1.82818453447691,1.50411222589429,3.08972994066136,2.41385269250943
