Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
448,469.433333333333,453.433333333333,572.466666666666,419.733333333333,474.4
449,469.4,453.433333333333,572.466666666666,419.733333333333,474.4
450,469.4,453.433333333333,572.433333333333,419.733333333333,474.4
451,469.4,453.433333333333,572.433333333333,419.733333333333,474.4
452,469.4,453.433333333333,572.433333333333,419.633333333333,474.4
453,469.4,453.433333333333,572.433333333333,419.6,474.4
454,469.4,453.433333333333,572.433333333333,419.6,474.4
455,469.4,453.433333333333,572.4,419.566666666666,474.4
456,469.4,453.4,572.4,419.533333333333,474.4
457,469.4,453.4,572.4,419.5,474.333333333333
458,469.366666666666,453.366666666666,572.4,419.5,474.333333333333
459,469.366666666666,453.366666666666,572.4,419.433333333333,474.3
460,469.366666666666,453.366666666666,572.4,419.433333333333,474.3
461,469.366666666666,453.366666666666,572.4,419.4,474.3
462,469.333333333333,453.333333333333,572.4,419.4,474.266666666666
463,469.333333333333,453.333333333333,572.4,419.333333333333,474.266666666666
464,469.333333333333,453.333333333333,572.4,419.333333333333,474.266666666666
465,469.333333333333,453.333333333333,572.4,419.233333333333,474.233333333333
466,469.333333333333,453.333333333333,572.4,419.233333333333,474.233333333333
467,469.3,453.333333333333,572.4,419.233333333333,474.233333333333
468,469.3,453.333333333333,572.4,419.233333333333,474.2
469,469.266666666666,453.333333333333,572.4,419.233333333333,474.1
470,469.266666666666,453.333333333333,572.4,419.233333333333,474.1
471,469.133333333333,453.333333333333,572.333333333333,419.233333333333,474.066666666666
472,469.133333333333,453.3,572.333333333333,419.233333333333,474.033333333333
473,469.133333333333,453.3,572.3,419.2,473.966666666666
474,469.133333333333,453.3,572.3,419.2,473.933333333333
475,468.866666666666,453.3,572.3,419.2,473.833333333333
476,468.866666666666,453.3,572.3,419.2,473.833333333333
477,468.866666666666,453.3,572.2,419.133333333333,473.833333333333
478,468.8,453.3,572.2,419.133333333333,473.733333333333
479,468.8,453.266666666666,572.2,419.133333333333,473.666666666666
480,468.8,453.233333333333,572.166666666666,419.133333333333,473.666666666666
481,468.8,453.233333333333,572.166666666666,419.066666666666,473.666666666666
482,468.8,453.233333333333,572.133333333333,419.033333333333,473.666666666666
483,468.8,453.233333333333,572.133333333333,419,473.666666666666
484,468.8,453.233333333333,572.133333333333,419,473.466666666666
485,468.8,453.233333333333,572.133333333333,419,473.266666666666
486,468.8,453.233333333333,572.133333333333,419,473.233333333333
487,468.8,453.233333333333,572.1,419,473.233333333333
488,468.8,453.233333333333,572.1,418.966666666666,473.233333333333
489,468.8,453.133333333333,572.1,418.966666666666,473.233333333333
490,468.8,453.1,572.1,418.966666666666,473.166666666666
491,468.8,453.1,572.1,418.966666666666,473.166666666666
492,468.8,453.1,572.1,418.933333333333,473.066666666666
493,468.8,453.1,572.1,418.9,473.066666666666
494,468.8,453.1,572.1,418.9,473.066666666666
495,468.8,453.066666666666,572.1,418.9,473.033333333333
496,468.8,453.066666666666,572.1,418.9,473.033333333333
497,468.8,453.066666666666,572.1,418.9,473.033333333333
498,468.766666666666,453.066666666666,572.1,418.9,473
499,468.766666666666,452.966666666666,572.033333333333,418.9,472.933333333333
500,468.766666666666,452.933333333333,572.033333333333,418.9,472.933333333333
501,468.766666666666,452.9,572.033333333333,418.9,472.833333333333
502,468.733333333333,452.9,572.033333333333,418.9,472.833333333333
503,468.733333333333,452.866666666666,572.033333333333,418.833333333333,472.733333333333
504,468.733333333333,452.866666666666,571.766666666666,418.733333333333,472.733333333333
505,468.733333333333,452.833333333333,571.766666666666,418.733333333333,472.7
506,468.666666666666,452.8,571.533333333333,418.733333333333,472.7
507,468.666666666666,452.8,571.5,418.733333333333,472.6
508,468.666666666666,452.8,571.5,418.6,472.566666666666
509,468.666666666666,452.8,571.5,418.6,472.566666666666
510,468.666666666666,452.766666666666,571.466666666666,418.6,472.5
511,468.666666666666,452.766666666666,571.466666666666,418.533333333333,472.5
512,468.666666666666,452.7,571.466666666666,418.533333333333,472.4
513,468.633333333333,452.7,571.333333333333,418.533333333333,472.4
514,468.633333333333,452.7,571.333333333333,418.5,472.166666666666
515,468.633333333333,452.666666666666,571.333333333333,418.5,472.166666666666
516,468.533333333333,452.666666666666,571.1,418.433333333333,472.1
517,468.5,452.666666666666,571.1,418.366666666666,472.1
518,468.5,452.666666666666,570.7,418.366666666666,471.966666666666
519,468.5,452.666666666666,570.066666666666,418.366666666666,471.933333333333
520,468.466666666666,452.633333333333,569.066666666666,418.366666666666,471.933333333333
521,468.466666666666,452.633333333333,569.033333333333,418.366666666666,471.933333333333
522,468.466666666666,452.633333333333,568.766666666666,418.366666666666,471.866666666666
523,468.433333333333,452.566666666666,568.733333333333,418.366666666666,471.866666666666
524,468.433333333333,452.5,568.733333333333,418.333333333333,471.833333333333
525,468.4,452.466666666666,568.666666666666,418.333333333333,471.833333333333
526,468.4,452.466666666666,568.333333333333,418.333333333333,471.833333333333
527,468.4,452.466666666666,568.3,418.3,471.8
528,468.4,452.466666666666,568.266666666666,418.3,471.8
529,468.4,452.466666666666,568.233333333333,418.3,471.766666666666
530,468.4,452.466666666666,568.233333333333,418.3,471.766666666666
531,468.4,452.466666666666,568.2,418.3,471.766666666666
532,468.4,452.433333333333,568.2,418.3,471.766666666666
533,468.4,452.433333333333,568.2,418.3,471.4
534,468.4,452.433333333333,568.2,418.3,471.366666666666
535,468.4,452.433333333333,568.166666666666,418.3,471.366666666666
536,468.4,452.433333333333,568.1,418.3,471.166666666666
537,468.4,452.433333333333,568.1,418.266666666666,471.166666666666
538,468.366666666666,452.4,568.1,418.266666666666,471.166666666666
539,468.366666666666,452.4,568.1,418.266666666666,471.133333333333
540,468.366666666666,452.4,568.033333333333,418.266666666666,471.133333333333
541,468.366666666666,452.4,568.033333333333,418.2,471.133333333333
542,468.366666666666,452.4,568.033333333333,418.2,471.133333333333
543,468.366666666666,452.4,568.033333333333,418.166666666666,471.1
544,468.366666666666,452.4,567.966666666666,418.166666666666,470.9
545,468.366666666666,452.4,567.933333333333,418.166666666666,470.866666666666
546,468.366666666666,452.4,567.9,418.166666666666,470.866666666666
547,468.366666666666,452.4,567.866666666666,418.166666666666,470.866666666666
548,468.366666666666,452.366666666666,567.866666666666,418.166666666666,470.7
549,468.366666666666,452.366666666666,567.833333333333,418.133333333333,470.7
550,468.3,452.366666666666,567.733333333333,418.133333333333,470.7
551,468.3,452.366666666666,567.7,418.133333333333,470.7
552,468.3,452.366666666666,567.666666666666,418.133333333333,470.7
553,468.166666666666,452.366666666666,567.666666666666,418.133333333333,470.666666666666
554,468.166666666666,452.333333333333,567.633333333333,418.133333333333,470.6
555,468.133333333333,452.333333333333,567.566666666666,418.066666666666,470.6
556,468.133333333333,452.333333333333,567.566666666666,418.066666666666,470.533333333333
557,468.133333333333,452.333333333333,567.566666666666,418.066666666666,470.466666666666
558,468.133333333333,452.333333333333,567.533333333333,418.066666666666,470.466666666666
559,468.133333333333,452.333333333333,567.533333333333,418.066666666666,470.433333333333
560,468.133333333333,452.333333333333,567.533333333333,418.066666666666,470.433333333333
561,468.133333333333,452.333333333333,567.533333333333,418.033333333333,470.4
562,468.133333333333,452.3,567.533333333333,418.033333333333,470.4
563,468.133333333333,452.3,567.5,418.033333333333,470.366666666666
564,468.133333333333,452.266666666666,567.5,418.033333333333,470.333333333333
565,468.133333333333,452.266666666666,567.5,418.033333333333,470.333333333333
566,468.1,452.266666666666,567.5,418.033333333333,470.333333333333
567,468.1,452.266666666666,567.466666666666,418.033333333333,470.333333333333
568,468.033333333333,452.266666666666,567.466666666666,418.033333333333,470.333333333333
569,468,452.266666666666,567.366666666666,418.033333333333,470.2
570,468,452.266666666666,567.366666666666,418.033333333333,470.2
571,468,452.266666666666,567.366666666666,418,470.2
572,468,452.266666666666,567.366666666666,418,470.2
573,468,452.266666666666,567.366666666666,418,470.2
574,467.966666666666,452.266666666666,567.366666666666,418,470.2
575,467.966666666666,452.266666666666,567.366666666666,417.933333333333,470.2
576,467.966666666666,452.266666666666,567.366666666666,417.933333333333,470.066666666666
577,467.966666666666,452.266666666666,567.366666666666,417.9,470.033333333333
578,467.966666666666,452.266666666666,567.333333333333,417.9,470.033333333333
579,467.966666666666,452.266666666666,567.3,417.9,470.033333333333
580,467.966666666666,452.266666666666,567.233333333333,417.9,470.033333333333
581,467.966666666666,452.266666666666,567.233333333333,417.866666666666,469.966666666666
582,467.933333333333,452.233333333333,567.233333333333,417.866666666666,469.966666666666
583,467.933333333333,452.233333333333,567.233333333333,417.833333333333,469.966666666666
584,467.933333333333,452.2,567.233333333333,417.833333333333,469.966666666666
585,467.933333333333,452.2,567.2,417.8,469.966666666666
586,467.933333333333,452.2,567.2,417.8,469.966666666666
587,467.933333333333,452.2,567.2,417.8,469.966666666666
588,467.833333333333,452.2,567.2,417.766666666666,469.966666666666
589,467.833333333333,452.2,567.166666666666,417.766666666666,469.866666666666
590,467.833333333333,452.2,567,417.766666666666,469.766666666666
591,467.833333333333,452.166666666666,566.833333333333,417.766666666666,469.766666666666
