Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
64,53416.9605516705,53830.6186415478,53438.7531693796,53249.1517903316,53456.9477612796,52952.8453696071,53258.5669560047,53830.6186415478,53322.1826942053,52904.9707538946,53207.3982521063,52653.8332695756,52993.1847722932,53219.6488630685,53019.6828413887,52672.6009488471,53147.6007055289,52704.5408972788
65,53400.5053898498,53830.6186415478,53438.7531693796,53249.1517903316,53456.9477612796,52914.0839258891,53258.5669560047,53830.6186415478,53322.1826942053,52904.9707538946,53207.3982521063,52653.8332695756,52987.7545551951,53206.0830079539,53018.9217501196,52662.5490732217,53147.4274434051,52704.5408972788
66,53400.5053898498,53830.6186415478,53459.7463670272,53249.1517903316,53456.9477612796,52914.0839258891,53258.5669560047,53830.6186415478,53322.1826942053,52904.9707538946,53202.249488905,52640.0591549661,52983.5858977696,53206.0830079539,53014.484517809,52679.4640521434,53145.9086077002,52716.0520464319
67,53400.5053898498,53830.6186415478,53459.7463670272,53271.8615425841,53456.9477612796,52914.0839258891,53250.3030186218,53830.6186415478,53322.1826942053,52904.9707538946,53202.249488905,52640.0591549661,52982.2569715241,53203.8264503537,53012.4749149062,52662.0703569208,53143.2535644397,52716.0520464319
68,53396.6572558707,53830.6186415478,53453.683157182,53271.8615425841,53447.5220084042,52914.0839258891,53250.3030186218,53830.6186415478,53322.1826942053,52904.9707538946,53202.249488905,52640.0591549661,52970.5044520242,53214.7578949818,53025.885904608,52662.0703569208,53123.5693905234,52699.2332002482
69,53396.0530715891,53830.6186415478,53453.683157182,53271.8615425841,53447.5220084042,52914.0839258891,53250.3030186218,53830.6186415478,53322.1826942053,52904.9707538946,53202.249488905,52640.0591549661,52970.3858941015,53210.4375072299,53013.4853683502,52651.3368587289,53125.9424618176,52679.7447602701
70,53396.0530715891,53830.6186415478,53422.5636010411,53271.8615425841,53456.6651978932,52914.0839258891,53250.3030186218,53830.6186415478,53322.1826942053,52912.0505402649,53202.249488905,52619.5480614322,52967.8043213073,53206.642760707,53022.7007997701,52633.5023361362,53123.4749264476,52664.7215851974
71,53383.9410002272,53830.6186415478,53422.5636010411,53256.704852505,53456.6651978932,52914.0839258891,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53202.2269861327,52610.1097114464,52962.4621160588,53205.8803701548,53019.1906557178,52619.7944282455,53120.5905807295,52655.8755632409
72,53368.090022688,53830.6186415478,53422.5636010411,53256.704852505,53456.6651978932,52888.7766543077,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53202.2269861327,52610.1097114464,52961.5587791461,53194.927366251,53007.6753064299,52616.6970175817,53118.3721009563,52641.0912141592
73,53368.090022688,53830.6186415478,53422.5636010411,53256.704852505,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53202.2269861327,52618.0590912522,52957.9333548093,53195.5495971398,53011.222825984,52613.9407100164,53110.5138476368,52636.1207460898
74,53363.7469322292,53830.6186415478,53422.5636010411,53233.1538468956,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53197.0782229315,52617.0967640602,52957.911536689,53197.8778648091,53011.6188011833,52612.8632369843,53092.1496016641,52632.0585927823
75,53363.7469322292,53830.6186415478,53422.5636010411,53233.1538468956,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53197.0782229315,52617.0967640602,52957.5656643471,53192.8533284507,53020.0071331363,52603.3824129214,53087.4996211172,52615.4759394963
